age,gender,honesty_humility,emotionality,extraversion,agreeableness,conscientiousness,openness,relationship_dishonesty,had_relationship_dishonesty,in_relationship,relationship_length_months,study_id
20,0,2.88,2.99,2.12,3.46,3.24,4.02,2.57,1,1,16,1
22,0,2.51,2.64,2.59,1.98,3.37,3.69,2.57,1,1,16,1
36,0,4.14,3.37,3.73,2.44,3.42,2.36,1.77,0,0,0,1
33,1,3.92,3.18,3.41,3.04,4.21,2.81,1.5,0,1,79,1
38,0,4.28,4.03,3.16,2.71,3.73,3.27,1.15,0,1,63,1
27,1,3.66,2.55,4.2,2.91,3.29,4.05,2.49,0,1,95,1
33,1,1.68,4.61,2.93,3.17,2.69,3.02,2.68,1,1,20,1
38,1,2.59,4.09,3.2,2.65,4.55,2.57,3.12,1,1,6,1
28,1,3.7,3.06,3.08,3.22,3.2,4.38,2.2,0,1,5,1
36,0,3.16,4.46,3.83,3.43,3.52,2.9,2.39,0,1,9,1
25,1,3.04,2.65,2.38,3.14,4.93,2.63,1.87,0,1,66,1
28,0,2.68,3.34,3.18,3.53,3.22,3.55,2.53,1,1,15,1
28,1,4.02,2.31,2.38,1.8,3.43,3.37,1.0,0,1,123,1
20,1,3.7,4.49,3.3,2.75,3.74,3.06,1.26,0,1,2,1
36,0,3.73,2.05,3.97,3.64,2.6,3.4,1.58,0,1,36,1
27,1,2.99,2.19,3.98,2.58,2.53,2.77,1.67,0,1,42,1
32,0,3.51,2.76,3.03,2.5,3.3,3.05,1.58,0,1,37,1
36,0,2.53,4.13,3.85,3.02,3.32,3.38,1.92,0,1,5,1
36,1,3.32,3.87,3.38,3.09,3.68,2.02,2.17,0,1,2,1
38,1,1.76,3.29,4.38,2.78,2.99,4.05,3.91,1,1,7,1
31,1,2.38,3.91,3.42,4.21,3.87,2.47,3.69,1,1,1,1
27,1,3.19,3.12,1.57,3.27,2.26,2.76,1.43,0,1,44,1
31,1,4.94,3.5,4.08,2.56,3.56,4.08,1.0,0,1,24,1
18,0,2.23,4.36,3.2,2.24,3.82,3.79,2.69,1,1,57,1
18,0,2.59,3.03,3.32,3.34,3.8,3.46,2.84,1,1,5,1
18,1,3.54,2.66,3.72,2.54,3.5,2.24,1.62,0,1,62,1
22,0,4.55,3.53,2.57,4.39,3.19,2.99,1.4,0,1,18,1
35,1,3.53,3.72,3.55,3.36,3.48,3.25,2.0,0,1,48,1
22,0,3.86,3.28,3.85,3.44,4.37,3.3,1.0,0,1,4,1
28,0,3.18,3.9,3.74,3.25,3.23,4.18,2.04,0,1,56,1
44,1,3.07,3.06,3.11,3.77,4.21,4.76,1.48,0,1,105,1
28,1,3.45,3.29,4.14,1.66,4.31,3.82,1.51,0,1,19,1
39,1,2.97,3.46,2.85,2.38,2.52,3.04,1.97,0,0,0,1
22,1,3.87,3.4,3.09,3.72,3.52,4.23,1.83,0,1,13,1
29,0,2.36,4.33,3.41,4.0,2.99,3.0,2.65,1,1,38,1
22,1,3.98,3.46,3.69,2.36,2.67,1.62,1.14,0,1,6,1
28,0,3.43,2.99,3.29,2.01,4.09,2.55,2.86,1,1,15,1
40,1,3.26,3.57,4.3,3.2,3.89,1.79,1.5,0,1,28,1
18,0,2.33,3.91,3.69,3.39,3.76,3.14,2.84,1,1,18,1
36,1,2.76,3.74,3.55,3.19,2.93,3.28,2.68,1,1,75,1
34,0,4.18,3.7,3.67,3.06,3.73,2.32,1.3,0,1,20,1
26,1,3.26,2.15,3.98,1.99,2.79,2.82,1.5,0,1,31,1
18,1,3.58,1.46,3.66,2.87,3.65,2.43,1.22,0,1,15,1
32,1,2.83,4.09,2.32,2.96,3.19,3.31,2.6,1,1,35,1
26,0,3.38,3.51,4.21,2.77,4.25,2.82,2.37,0,0,0,1
34,1,2.51,3.18,3.58,1.95,3.37,4.09,2.52,1,1,45,1
32,0,3.46,3.69,3.95,3.45,3.74,3.52,1.13,0,1,9,1
48,0,3.64,4.55,3.24,3.62,3.74,4.49,1.65,0,1,52,1
29,0,3.61,4.19,2.31,2.62,3.55,3.09,2.42,0,1,58,1
21,0,2.81,3.87,2.02,2.99,3.67,4.86,1.8,0,0,0,1
33,1,3.18,2.58,2.89,2.8,3.79,3.4,1.85,0,1,1,1
34,0,3.75,2.67,3.84,2.81,3.04,3.04,1.58,0,1,115,1
45,1,3.26,1.53,4.34,3.4,3.85,5.0,2.49,0,1,3,1
40,1,3.21,3.64,3.7,3.41,4.14,2.16,1.72,0,1,24,1
35,1,4.64,3.98,2.82,3.74,3.85,3.02,1.09,0,0,0,1
46,1,2.78,4.03,2.99,3.73,3.38,2.27,3.03,1,1,17,1
20,1,4.1,3.67,4.38,3.0,3.71,2.15,1.0,0,1,1,1
25,0,2.65,3.09,2.65,4.81,3.37,1.99,1.78,0,1,45,1
22,1,3.83,2.81,4.87,4.03,3.53,3.82,1.44,0,1,20,1
28,0,3.86,2.62,4.72,2.71,2.86,2.5,1.96,0,1,16,1
18,0,3.07,3.09,4.89,3.18,4.46,3.23,2.27,0,1,4,1
38,0,2.61,2.52,3.75,1.91,4.8,4.01,3.0,1,1,1,1
29,1,2.12,4.43,3.28,3.12,3.16,3.72,2.01,0,1,28,1
18,0,3.0,2.29,3.73,4.1,4.09,3.68,2.33,0,1,1,1
21,1,3.74,3.06,4.09,4.77,4.5,4.23,1.0,0,0,0,1
35,0,2.7,1.84,3.08,3.03,3.01,4.49,3.06,1,1,69,1
40,1,3.46,3.41,2.78,3.3,2.26,2.55,2.38,0,1,26,1
51,1,2.44,3.2,3.32,3.46,4.54,3.73,2.44,0,1,87,1
61,0,3.25,2.95,3.0,4.29,3.59,3.21,1.0,0,1,9,1
36,1,2.65,2.55,4.31,2.51,3.28,3.3,2.33,0,1,1,1
22,1,3.35,3.2,3.1,4.69,3.63,2.37,2.43,0,1,2,1
18,1,3.07,2.82,3.56,2.91,3.37,3.04,2.31,0,1,12,1
34,0,2.63,3.1,4.14,2.4,5.0,3.11,3.38,1,1,16,1
23,1,2.97,4.57,4.33,2.91,3.27,4.37,2.03,0,1,34,1
27,0,2.79,3.32,3.64,2.61,3.8,2.61,3.34,1,0,0,1
25,0,2.55,3.57,3.75,3.35,4.4,1.78,1.5,0,1,13,1
30,0,4.1,2.87,2.84,2.11,4.4,3.4,1.0,0,1,34,1
42,1,3.17,2.65,4.16,3.18,4.28,2.55,1.37,0,1,53,1
33,0,1.97,3.18,4.32,3.5,3.34,3.31,3.35,1,1,52,1
30,1,2.99,4.95,2.28,3.99,3.51,3.85,1.56,0,1,17,1
21,0,3.99,3.0,4.65,3.51,2.25,3.33,1.87,0,0,0,1
18,1,2.91,3.45,3.04,3.95,3.55,3.11,2.57,1,1,19,1
27,0,4.37,2.62,3.89,2.74,3.62,3.29,1.15,0,1,15,1
31,1,2.84,1.27,3.55,3.34,4.06,3.98,2.23,0,1,90,1
49,1,3.73,2.65,3.46,1.76,4.71,2.61,1.04,0,1,71,1
33,1,4.07,4.87,3.37,3.03,4.04,3.9,1.6,0,1,18,1
41,0,3.69,3.62,2.85,3.33,4.26,2.72,1.35,0,1,68,1
27,1,2.51,4.35,3.84,3.39,3.59,3.81,2.93,1,1,10,1
20,1,2.79,2.96,3.31,2.16,4.4,2.35,3.07,1,1,9,1
22,1,4.16,1.55,2.65,2.87,3.61,3.77,1.07,0,0,0,1
24,0,2.88,2.42,2.83,2.95,4.31,3.33,2.91,1,0,0,1
53,1,4.03,3.48,2.66,2.84,4.1,3.47,1.42,0,1,79,1
23,0,3.12,3.37,3.16,3.54,3.84,4.05,2.35,0,1,11,1
40,0,3.49,3.19,3.82,2.97,2.64,2.84,1.1,0,1,1,1
22,1,2.5,2.83,3.04,3.16,4.28,3.38,2.21,0,1,11,1
41,1,3.0,3.86,4.13,2.81,3.83,3.61,1.8,0,1,8,1
35,1,2.83,2.85,3.42,3.74,4.04,3.2,2.96,1,1,112,1
30,1,3.55,3.42,3.31,3.78,3.79,3.89,1.54,0,0,0,1
31,0,3.46,3.34,3.51,2.91,3.9,3.62,2.1,0,1,80,1
25,1,3.7,2.94,4.41,4.81,4.41,3.01,1.55,0,1,24,1
36,0,3.08,2.58,2.61,2.64,3.31,4.26,1.91,0,1,19,1
27,0,2.8,2.9,4.58,3.7,3.89,3.78,1.57,0,1,27,1
19,0,3.52,4.51,4.12,2.53,3.12,2.83,1.0,0,1,52,1
19,1,2.73,3.98,3.49,3.56,3.96,2.82,2.2,0,1,22,1
33,1,4.1,3.91,4.27,3.52,3.76,3.25,1.13,0,1,11,1
47,0,3.33,2.65,3.29,2.49,3.21,3.7,1.45,0,1,10,1
33,1,3.19,2.19,3.69,3.02,3.66,1.89,2.07,0,0,0,1
30,1,3.7,3.97,3.15,4.22,3.25,2.86,2.57,1,0,0,1
34,1,3.35,3.83,4.13,2.61,3.37,3.01,2.62,1,1,23,1
45,1,2.32,3.3,3.04,3.34,3.82,2.42,2.69,1,1,12,1
34,0,2.71,2.94,3.47,3.3,3.77,2.71,2.39,0,0,0,1
27,1,4.09,2.18,3.94,3.07,2.41,3.49,1.58,0,1,25,1
43,1,3.45,3.81,4.18,2.06,3.83,3.07,1.89,0,1,78,1
36,1,2.31,4.03,2.97,3.6,3.41,3.12,3.0,1,1,31,1
47,1,3.63,2.72,3.99,3.11,3.34,2.46,1.76,0,1,29,1
33,1,3.04,2.67,2.86,3.76,2.9,3.25,2.15,0,1,33,1
19,0,2.83,4.07,2.1,3.24,3.57,2.38,1.94,0,0,0,1
18,1,2.66,2.75,3.01,3.14,3.28,4.39,2.58,1,1,25,1
48,0,4.05,4.45,4.04,3.32,4.39,4.59,1.0,0,0,0,1
49,0,2.12,3.12,3.49,2.51,2.52,3.08,2.96,1,1,9,1
30,1,2.86,2.93,3.15,4.03,3.0,2.64,1.2,0,1,50,1
28,1,3.48,3.23,3.54,2.87,2.96,3.98,1.87,0,0,0,1
46,1,4.43,2.93,3.51,2.88,3.76,3.8,1.0,0,0,0,1
20,1,3.76,3.99,3.9,3.88,4.33,4.67,2.15,0,1,1,1
23,1,2.85,3.82,2.45,3.25,3.91,4.86,2.29,0,0,0,1
38,1,4.39,3.96,3.43,2.96,2.92,2.02,1.01,0,1,2,1
28,1,2.52,3.33,3.58,3.35,3.33,4.19,2.71,1,1,81,1
31,0,3.57,2.88,2.61,3.48,3.1,3.25,1.24,0,1,11,1
30,1,3.72,3.19,2.6,3.03,3.91,3.77,2.11,0,1,65,1
35,0,2.83,2.9,3.26,3.65,3.32,3.93,2.61,1,1,30,1
46,0,3.85,4.23,3.51,2.34,2.72,3.9,1.17,0,0,0,1
32,0,3.07,3.9,3.51,3.26,3.96,4.08,1.54,0,1,15,1
38,1,3.85,3.14,3.14,3.58,4.38,3.02,1.23,0,0,0,1
18,1,2.2,2.55,3.11,3.47,3.49,2.75,2.69,1,0,0,1
31,1,3.62,4.28,3.24,1.76,3.67,4.21,1.06,0,1,2,1
23,1,3.13,3.3,3.69,3.02,2.67,2.81,1.77,0,1,7,1
19,1,4.15,3.11,4.31,2.37,2.32,4.67,1.0,0,0,0,1
23,0,3.37,4.28,2.06,3.87,2.45,2.88,1.7,0,1,32,1
28,1,4.21,2.84,3.9,2.87,3.57,3.14,1.03,0,1,4,1
41,1,3.73,2.98,3.43,3.8,3.41,3.27,1.76,0,1,2,1
18,1,3.32,3.04,3.84,2.37,3.94,2.35,1.86,0,0,0,1
32,0,3.91,2.28,4.27,3.33,3.48,2.35,1.57,0,1,44,1
27,0,3.92,3.42,3.01,3.1,4.21,4.02,1.49,0,1,19,1
28,1,3.71,2.67,4.11,4.76,4.14,2.23,1.43,0,1,17,1
42,0,1.91,2.8,2.68,3.81,3.4,5.0,3.31,1,1,56,1
37,0,2.76,2.71,3.58,3.77,2.98,3.34,1.0,0,1,14,1
45,1,4.3,2.79,3.34,4.32,2.41,2.7,1.0,0,1,18,1
30,0,2.58,2.61,3.53,3.27,4.49,3.69,2.15,0,1,12,1
25,0,3.97,3.37,2.86,3.04,3.02,1.73,1.38,0,1,3,1
29,1,3.86,3.09,3.78,2.97,2.67,3.17,1.09,0,1,72,1
34,1,2.93,3.23,4.53,3.3,3.68,3.26,2.43,0,1,70,1
33,1,2.1,4.85,2.87,1.44,2.68,2.54,3.18,1,1,52,1
21,0,3.03,3.09,3.62,3.1,3.68,2.97,1.38,0,1,8,1
32,0,4.75,3.62,4.06,3.24,3.39,4.44,1.0,0,1,7,1
34,1,2.84,3.7,3.31,3.01,4.17,3.52,1.59,0,1,42,1
57,1,2.88,3.16,4.38,2.18,4.12,3.67,2.44,0,1,6,1
50,0,2.75,3.39,3.22,3.01,4.28,2.86,2.07,0,1,2,1
23,1,4.19,3.21,3.42,2.18,3.73,2.5,1.0,0,1,51,1
29,1,3.24,3.34,2.85,4.16,3.07,3.24,1.05,0,1,3,1
18,1,2.99,2.79,3.58,2.95,2.96,1.73,2.06,0,1,42,1
26,1,4.32,2.85,3.5,1.86,3.27,2.65,1.0,0,1,31,1
35,1,3.78,3.21,3.91,2.98,4.84,2.55,1.0,0,1,3,1
44,0,2.8,1.82,3.09,3.64,3.45,2.01,2.35,0,1,19,1
24,0,2.6,4.25,3.06,3.21,3.7,3.84,2.9,1,1,56,1
25,1,4.15,4.71,3.8,2.55,4.54,3.31,1.38,0,1,6,1
18,1,3.41,3.32,4.41,2.69,3.76,2.98,1.06,0,1,19,1
30,1,2.39,3.67,3.91,2.93,3.14,3.86,2.52,1,1,5,1
21,1,2.24,3.96,4.7,2.84,4.05,2.28,3.05,1,1,90,1
26,0,2.67,2.27,3.86,2.34,3.33,2.49,2.3,0,1,25,1
23,0,2.59,3.85,3.84,3.06,3.78,4.16,2.59,1,1,20,1
31,0,2.07,2.9,3.94,2.3,3.92,4.95,2.63,1,1,71,1
18,0,2.69,4.8,4.47,3.67,3.29,3.87,2.16,0,1,25,1
18,1,2.8,3.07,4.3,3.74,3.72,3.72,1.93,0,1,24,1
53,1,3.1,3.84,2.79,2.5,4.59,3.0,2.33,0,1,54,1
19,1,4.5,3.08,4.02,2.67,3.21,3.02,1.24,0,1,13,1
21,1,3.23,4.74,3.67,2.85,4.42,3.55,1.64,0,1,33,1
50,1,3.29,2.84,3.37,3.08,3.23,4.33,2.25,0,1,23,1
61,0,3.73,4.02,2.35,3.25,4.72,3.69,1.0,0,1,15,1
20,1,3.25,3.64,2.5,3.38,3.07,4.05,1.81,0,1,14,1
28,0,3.66,3.48,3.26,3.36,3.36,2.78,1.0,0,1,4,1
35,1,3.58,3.36,2.55,4.03,4.54,3.82,1.07,0,1,14,1
49,1,3.48,2.73,3.28,3.14,4.56,2.94,1.03,0,1,2,1
22,0,5.0,1.39,3.96,2.32,4.11,3.5,1.0,0,1,27,1
29,0,3.99,3.95,3.12,2.13,2.93,3.82,1.62,0,1,5,1
39,0,2.7,2.86,3.55,4.08,3.65,3.04,2.3,0,1,2,1
36,1,3.64,4.02,2.8,3.41,3.6,2.71,1.3,0,1,101,1
28,0,2.89,3.45,3.69,3.22,3.07,3.65,2.1,0,0,0,1
30,0,3.69,4.04,3.83,3.37,4.03,3.31,1.0,0,1,62,1
18,0,2.51,3.76,2.58,3.2,3.12,3.49,2.78,1,1,14,1
29,1,2.68,1.47,3.01,3.36,2.8,3.85,1.23,0,1,23,1
29,1,3.62,3.63,2.68,2.88,2.6,4.29,1.25,0,1,2,1
34,1,4.05,2.96,3.83,3.73,4.66,3.85,1.22,0,1,9,1
26,0,3.73,4.02,3.61,2.79,3.28,3.76,1.74,0,1,12,1
36,0,3.96,3.61,3.47,2.56,3.3,3.06,1.45,0,0,0,1
42,1,3.64,3.62,3.42,2.09,2.96,3.16,1.56,0,1,15,1
33,0,3.51,3.01,3.71,2.96,4.45,3.71,2.42,0,1,32,1
35,0,3.07,2.56,3.72,3.86,2.74,3.15,3.05,1,1,38,1
32,1,3.93,2.9,3.18,2.83,2.85,3.71,1.36,0,1,1,1
32,0,4.07,1.94,3.09,2.27,3.4,2.85,1.19,0,1,1,1
24,0,3.36,2.79,3.46,3.27,3.59,4.71,1.73,0,0,0,1
35,1,3.32,2.18,3.38,2.71,4.01,3.53,1.54,0,1,16,1
31,1,4.43,2.19,4.84,4.03,3.18,3.49,1.14,0,1,47,1
52,0,3.39,3.28,3.25,3.74,4.56,3.07,2.42,0,1,99,1
47,0,3.45,3.57,3.69,2.34,3.19,4.7,1.0,0,1,15,1
35,1,3.71,3.18,3.8,3.0,2.97,2.55,1.45,0,1,4,1
24,0,3.34,2.85,4.41,2.65,2.92,2.92,2.57,1,1,25,1
20,0,2.87,2.54,2.97,2.4,3.12,3.98,2.4,0,1,25,1
43,1,3.65,2.98,4.37,3.07,2.88,3.56,1.79,0,1,49,1
34,1,3.37,2.62,3.4,3.59,4.07,3.01,1.0,0,1,26,1
36,1,4.6,3.16,5.0,3.05,2.98,3.03,1.17,0,0,0,1
18,0,3.91,2.13,3.74,2.79,3.52,3.2,1.88,0,1,23,1
41,0,3.01,3.69,2.7,1.78,2.96,3.47,2.19,0,1,22,1
36,1,3.87,2.8,3.37,2.7,2.87,4.46,1.08,0,1,55,1
20,1,3.6,3.46,4.37,3.43,4.29,3.81,1.84,0,1,13,1
27,0,4.25,3.82,3.55,2.29,4.59,4.1,1.0,0,1,73,1
34,1,3.06,3.43,3.46,3.87,4.39,3.1,1.47,0,1,26,1
32,0,3.52,3.76,3.97,2.75,2.69,3.75,2.09,0,1,2,1
29,1,3.34,1.75,3.28,3.22,2.77,2.34,2.38,0,1,56,1
30,1,3.44,2.86,3.36,2.86,4.83,3.52,1.38,0,1,51,1
29,1,2.82,3.97,2.89,2.39,3.44,3.48,1.66,0,0,0,1
33,1,3.77,3.56,4.62,3.36,2.75,4.64,1.05,0,1,49,1
46,1,3.67,4.49,2.71,2.74,4.27,4.46,1.66,0,0,0,1
18,0,4.24,4.39,3.61,2.6,3.64,3.22,1.0,0,1,10,1
29,0,3.39,3.41,3.81,1.67,3.95,2.84,2.43,0,1,17,1
33,1,3.13,3.02,3.49,3.88,2.21,2.86,1.76,0,1,43,1
34,0,3.91,2.53,2.68,3.1,3.4,3.2,1.56,0,1,115,1
28,1,2.88,2.87,2.85,3.76,4.19,4.29,1.82,0,1,60,1
18,0,4.11,2.91,3.84,3.47,3.2,3.68,1.5,0,1,23,1
35,1,4.1,2.78,2.99,3.76,4.37,3.75,1.55,0,1,10,1
49,1,4.22,2.56,2.15,2.76,2.78,3.95,1.0,0,1,28,1
18,1,3.64,3.48,3.75,2.28,3.53,2.72,1.25,0,1,63,1
40,1,3.08,4.39,2.93,3.56,4.62,2.92,1.96,0,1,58,1
28,0,3.47,3.85,3.91,3.18,2.89,3.75,1.46,0,1,106,1
31,1,3.65,2.97,3.37,2.82,3.77,2.87,2.02,0,0,0,1
21,0,3.04,3.91,3.34,3.55,3.96,2.36,1.77,0,1,2,1
28,0,4.27,3.44,3.53,3.28,3.66,2.66,1.44,0,1,11,1
45,0,3.78,3.17,2.76,3.48,3.44,4.12,1.72,0,1,54,1
37,1,2.82,3.13,2.96,2.49,3.06,3.15,2.19,0,1,28,1
49,0,4.62,3.06,3.33,3.69,3.72,3.55,1.18,0,0,0,1
43,0,3.46,3.66,2.76,3.1,3.54,2.7,1.0,0,1,11,1
36,0,2.69,3.3,3.96,3.75,2.71,3.66,2.32,0,0,0,1
49,0,2.86,2.69,3.3,3.68,4.28,3.22,1.82,0,0,0,1
36,0,4.37,2.66,2.56,3.51,3.04,3.7,1.0,0,0,0,1
40,1,4.59,3.41,3.14,3.03,2.73,3.08,1.0,0,1,48,1
29,0,4.06,3.5,3.57,3.53,3.23,3.74,1.28,0,1,13,1
32,0,4.26,2.98,3.21,3.77,3.05,3.04,1.1,0,1,16,1
25,1,4.19,2.41,3.76,3.46,3.44,3.35,1.22,0,1,149,1
41,1,3.76,4.08,3.87,3.22,2.83,3.22,1.58,0,1,8,1
20,0,3.61,3.93,5.0,3.53,3.88,3.42,1.9,0,1,4,1
39,0,3.75,1.81,4.25,2.78,4.46,3.59,1.0,0,1,28,1
30,0,3.88,4.14,2.44,4.01,3.67,3.06,1.65,0,1,6,1
43,1,2.92,3.05,3.27,2.09,2.7,3.32,1.41,0,1,7,1
39,0,3.88,3.33,3.33,3.12,3.03,3.53,1.0,0,1,19,1
50,0,4.35,4.0,3.87,2.86,3.74,3.75,2.01,0,1,51,1
39,1,3.27,4.36,2.89,2.72,2.38,3.35,1.41,0,1,21,1
18,0,3.2,3.9,3.15,3.28,2.84,2.8,1.72,0,1,26,1
31,0,3.71,3.37,2.69,2.42,2.58,3.46,1.0,0,1,11,1
20,0,2.98,2.24,3.11,4.39,3.67,3.86,1.89,0,1,64,1
26,1,2.54,1.78,3.13,2.29,4.94,2.49,2.57,1,1,28,1
47,1,4.15,3.81,3.3,2.53,2.82,2.5,1.3,0,1,50,1
38,1,3.11,4.14,2.73,2.47,4.11,2.95,1.41,0,1,14,1
25,1,3.41,2.63,4.14,3.22,3.25,3.27,1.55,0,1,16,1
21,0,3.0,3.01,3.81,3.71,2.78,1.91,2.28,0,1,19,1
32,1,4.23,2.81,2.56,3.42,4.57,3.79,1.24,0,1,11,1
19,1,3.95,2.79,3.52,3.98,4.94,3.28,1.4,0,1,17,1
25,1,3.24,3.95,2.48,2.6,3.86,1.8,2.29,0,1,33,1
35,1,2.63,3.35,4.37,3.5,3.82,2.64,2.34,0,1,130,1
43,0,3.17,3.04,4.55,2.92,3.64,3.2,2.66,1,1,14,1
38,0,3.77,5.0,3.46,3.24,3.51,2.19,1.34,0,1,25,1
18,1,3.52,2.2,2.95,3.77,3.81,4.06,2.03,0,1,107,1
35,0,3.47,3.58,3.07,2.08,4.02,3.53,2.09,0,1,55,1
32,1,3.54,2.47,3.21,4.29,4.63,3.86,1.0,0,1,77,1
36,0,3.89,3.09,3.43,3.01,3.28,2.7,1.61,0,1,4,1
48,0,3.37,3.3,4.39,2.14,3.68,3.68,1.48,0,1,150,1
18,1,3.69,3.79,4.12,2.68,3.55,2.95,1.04,0,1,237,1
